Birth Year,Year,Month,Number of Trips
1926,2013,07,40
1987,2013,07,24003
1991,2013,07,5803
1952,2013,07,3267
1983,2013,07,31412
1947,2013,07,1430
1932,2013,07,65
1967,2013,07,12983
1986,2013,07,27125
1955,2013,07,5201
1899,2013,07,85
1994,2013,07,1469
1969,2013,07,16205
1900,2013,07,110
1992,2013,07,3805
1970,2013,07,18016
1934,2013,07,84
1996,2013,07,459
1939,2013,07,87
1957,2013,07,7151
1927,2013,07,14
1965,2013,07,11306
1976,2013,07,20827
1973,2013,07,16147
1960,2013,07,9241
1938,2013,07,151
1936,2013,07,64
1959,2013,07,7773
1963,2013,07,10780
1951,2013,07,3261
1981,2013,07,29785
1950,2013,07,2841
1930,2013,07,4
1990,2013,07,11208
1961,2013,07,8669
1949,2013,07,1840
1953,2013,07,4189
1966,2013,07,12865
1964,2013,07,11529
1984,2013,07,27450
1977,2013,07,21149
1920,2013,07,28
1971,2013,07,15893
1962,2013,07,9939
1974,2013,07,18878
1910,2013,07,3
1948,2013,07,2001
1985,2013,07,31023
1993,2013,07,2038
1995,2013,07,686
1944,2013,07,660
1937,2013,07,34
1901,2013,07,28
1913,2013,07,13
1997,2013,07,292
1972,2013,07,16754
1982,2013,07,30856
1922,2013,07,7
\N,2013,07,174887
1978,2013,07,23903
1941,2013,07,408
1942,2013,07,582
1956,2013,07,5967
1979,2013,07,25843
1921,2013,07,25
1968,2013,07,13717
1940,2013,07,332
1946,2013,07,1144
1945,2013,07,914
1980,2013,07,28040
1975,2013,07,19089
1943,2013,07,454
1954,2013,07,4761
1924,2013,07,3
1958,2013,07,7282
1989,2013,07,16271
1933,2013,07,53
1935,2013,07,61
1988,2013,07,20654
1935,2013,08,68
1926,2013,08,21
1989,2013,08,22517
1945,2013,08,1030
1917,2013,08,6
1924,2013,08,8
1954,2013,08,5757
1940,2013,08,352
1975,2013,08,22607
1980,2013,08,34555
1995,2013,08,911
1946,2013,08,1218
1941,2013,08,486
1968,2013,08,16037
1979,2013,08,30687
1956,2013,08,7592
1986,2013,08,33033
1901,2013,08,72
1978,2013,08,28668
\N,2013,08,186014
1982,2013,08,37875
1933,2013,08,47
1913,2013,08,7
1972,2013,08,19319
1997,2013,08,453
1993,2013,08,2936
1985,2013,08,38074
1948,2013,08,2311
1910,2013,08,7
1974,2013,08,23184
1943,2013,08,673
1962,2013,08,11683
1958,2013,08,8948
1921,2013,08,23
1971,2013,08,18370
1950,2013,08,3230
1977,2013,08,26974
1984,2013,08,36309
1964,2013,08,13548
1966,2013,08,14997
1961,2013,08,9727
1953,2013,08,5364
1949,2013,08,2434
1942,2013,08,746
1990,2013,08,15872
1930,2013,08,3
1951,2013,08,4167
1920,2013,08,13
1932,2013,08,84
1963,2013,08,13360
1944,2013,08,790
1959,2013,08,9580
1899,2013,08,94
1938,2013,08,163
1960,2013,08,11051
1973,2013,08,18626
1976,2013,08,24607
1934,2013,08,119
1965,2013,08,13769
1927,2013,08,7
1957,2013,08,7942
1939,2013,08,122
1996,2013,08,795
1981,2013,08,36440
1970,2013,08,20860
1992,2013,08,4560
1931,2013,08,4
1900,2013,08,146
1952,2013,08,3891
1969,2013,08,18509
1994,2013,08,1415
1922,2013,08,32
1955,2013,08,6063
1967,2013,08,14742
1937,2013,08,57
1947,2013,08,1652
1983,2013,08,38585
1936,2013,08,99
1991,2013,08,7993
1987,2013,08,29626
1988,2013,08,27242
\N,2013,09,145169
1978,2013,09,28956
1931,2013,09,3
1959,2013,09,10617
1963,2013,09,15663
1956,2013,09,8491
1979,2013,09,31745
1899,2013,09,94
1940,2013,09,328
1990,2013,09,18921
1961,2013,09,11227
1949,2013,09,2580
1995,2013,09,1922
1980,2013,09,33729
1964,2013,09,15389
1984,2013,09,38395
1977,2013,09,26839
1981,2013,09,37625
1936,2013,09,110
1962,2013,09,13687
1989,2013,09,26164
1945,2013,09,1255
1935,2013,09,157
1974,2013,09,24627
1910,2013,09,10
1933,2013,09,50
1948,2013,09,2842
1987,2013,09,31751
1991,2013,09,10513
1903,2013,09,3
1955,2013,09,6914
1986,2013,09,35796
1982,2013,09,37681
1900,2013,09,183
1901,2013,09,73
1992,2013,09,7852
1957,2013,09,9322
1927,2013,09,3
1965,2013,09,15776
1917,2013,09,20
1968,2013,09,17884
1941,2013,09,494
1946,2013,09,1488
1938,2013,09,214
1951,2013,09,4258
1975,2013,09,23282
1907,2013,09,4
1943,2013,09,777
1954,2013,09,6513
1942,2013,09,797
1932,2013,09,94
1913,2013,09,8
1950,2013,09,3324
1953,2013,09,6142
1966,2013,09,17237
1988,2013,09,30896
1920,2013,09,6
1952,2013,09,4502
1971,2013,09,20590
1924,2013,09,14
1983,2013,09,38771
1947,2013,09,1988
1937,2013,09,85
1967,2013,09,17659
1958,2013,09,10195
1930,2013,09,6
1922,2013,09,37
1994,2013,09,3288
1969,2013,09,21227
1926,2013,09,34
1985,2013,09,38462
1993,2013,09,6163
1929,2013,09,15
1970,2013,09,23030
1934,2013,09,42
1996,2013,09,1263
1939,2013,09,162
1944,2013,09,917
1972,2013,09,20570
1976,2013,09,25355
1921,2013,09,12
1973,2013,09,20681
1960,2013,09,12785
1997,2013,09,606
1992,2013,10,10230
1952,2013,10,4674
1899,2013,10,58
1933,2013,10,65
1994,2013,10,4564
1965,2013,10,16782
1957,2013,10,10093
1940,2013,10,451
1944,2013,10,972
1948,2013,10,2661
1981,2013,10,37601
1947,2013,10,2220
1913,2013,10,2
1921,2013,10,11
1922,2013,10,55
1955,2013,10,7361
1985,2013,10,40203
1937,2013,10,34
1930,2013,10,5
1983,2013,10,40442
1942,2013,10,788
1936,2013,10,76
1950,2013,10,3424
1988,2013,10,33813
1990,2013,10,21722
1971,2013,10,22703
1917,2013,10,10
1946,2013,10,1463
1964,2013,10,16655
1966,2013,10,17464
1943,2013,10,747
1960,2013,10,13349
1901,2013,10,36
1931,2013,10,28
1995,2013,10,2502
\N,2013,10,97445
1963,2013,10,16881
1939,2013,10,137
1959,2013,10,11068
1934,2013,10,73
1979,2013,10,32608
1972,2013,10,21517
1956,2013,10,8843
1973,2013,10,21315
1976,2013,10,26223
1978,2013,10,29478
1929,2013,10,28
1926,2013,10,25
1996,2013,10,1379
1967,2013,10,18516
1910,2013,10,24
1986,2013,10,36649
1900,2013,10,202
1991,2013,10,12240
1969,2013,10,22737
1962,2013,10,15505
1993,2013,10,7696
1954,2013,10,7280
1997,2013,10,1012
1974,2013,10,25388
1984,2013,10,39174
1907,2013,10,9
1987,2013,10,34107
1924,2013,10,2
1958,2013,10,10546
1949,2013,10,2924
1951,2013,10,4594
1935,2013,10,167
1989,2013,10,28778
1932,2013,10,79
1977,2013,10,26769
1968,2013,10,19437
1945,2013,10,1226
1970,2013,10,24291
1953,2013,10,7156
1938,2013,10,192
1961,2013,10,12561
1975,2013,10,24242
1980,2013,10,35091
1927,2013,10,18
1941,2013,10,563
1982,2013,10,38253
1900,2013,11,120
1991,2013,11,8528
1958,2013,11,7723
1951,2013,11,3294
1980,2013,11,22342
\N,2013,11,43972
1937,2013,11,17
1942,2013,11,534
1956,2013,11,6258
1943,2013,11,433
1901,2013,11,19
1935,2013,11,121
1929,2013,11,12
1907,2013,11,9
1921,2013,11,5
1948,2013,11,2096
1968,2013,11,13250
1997,2013,11,643
1992,2013,11,6532
1975,2013,11,15237
1993,2013,11,5182
1931,2013,11,4
1995,2013,11,2068
1941,2013,11,400
1982,2013,11,24740
1974,2013,11,16854
1984,2013,11,26629
1979,2013,11,21753
1972,2013,11,14461
1949,2013,11,1847
1978,2013,11,19419
1950,2013,11,2302
1977,2013,11,17252
1933,2013,11,38
1910,2013,11,17
