Hour of the Day,Gender,Birth Year,Year,Month,Number of Trips
19,2,1986,2013,07,742
21,1,1968,2013,07,324
11,2,1986,2013,07,280
14,1,1976,2013,07,803
20,1,1932,2013,07,2
18,2,1981,2013,07,811
20,2,1986,2013,07,566
7,1,1990,2013,07,256
3,2,1969,2013,07,1
12,1,1970,2013,07,677
13,1,1973,2013,07,618
15,1,1991,2013,07,191
13,1,1922,2013,07,1
20,2,1987,2013,07,495
12,1,1932,2013,07,19
12,2,1973,2013,07,185
11,2,1959,2013,07,83
21,1,1990,2013,07,431
11,1,1983,2013,07,795
10,2,1973,2013,07,139
22,1,1980,2013,07,730
13,1,1979,2013,07,1072
2,1,1969,2013,07,33
23,2,1974,2013,07,45
2,1,1945,2013,07,9
19,1,1927,2013,07,1
18,1,1992,2013,07,185
12,2,1997,2013,07,9
20,1,1957,2013,07,190
5,1,1990,2013,07,51
2,1,1952,2013,07,6
13,2,1965,2013,07,135
15,2,1970,2013,07,191
16,2,1987,2013,07,383
11,1,1971,2013,07,493
19,1,1995,2013,07,20
3,1,1986,2013,07,58
22,2,1975,2013,07,100
14,1,\N,2013,07,4
10,1,1927,2013,07,1
19,2,1942,2013,07,17
16,2,1985,2013,07,458
18,2,1945,2013,07,8
1,1,1948,2013,07,1
6,1,1993,2013,07,21
17,1,1993,2013,07,175
14,2,1987,2013,07,286
8,1,1968,2013,07,1073
7,2,1940,2013,07,1
16,1,1946,2013,07,66
2,1,1968,2013,07,19
5,1,1959,2013,07,38
13,1,1997,2013,07,19
8,1,1965,2013,07,711
0,1,1964,2013,07,69
3,1,1946,2013,07,2
9,1,1921,2013,07,5
19,2,1964,2013,07,169
23,1,1961,2013,07,94
6,2,1981,2013,07,112
2,1,1992,2013,07,29
6,2,1988,2013,07,124
0,1,1987,2013,07,296
21,2,1975,2013,07,137
16,1,1968,2013,07,845
8,1,1957,2013,07,473
23,2,1995,2013,07,5
21,2,1945,2013,07,2
17,1,1950,2013,07,210
6,1,1982,2013,07,437
6,2,1956,2013,07,27
16,1,1936,2013,07,6
2,1,1950,2013,07,1
5,2,1948,2013,07,1
17,2,1953,2013,07,61
3,1,1970,2013,07,36
13,2,1981,2013,07,371
11,2,1938,2013,07,1
5,1,1958,2013,07,18
8,1,1981,2013,07,1648
5,0,\N,2013,07,378
0,2,1947,2013,07,1
7,2,1950,2013,07,33
13,1,1949,2013,07,91
18,2,1949,2013,07,24
15,1,1921,2013,07,1
0,2,1949,2013,07,2
13,2,1989,2013,07,190
5,2,1973,2013,07,8
3,1,1993,2013,07,7
15,1,1901,2013,07,2
1,1,1961,2013,07,24
4,1,1952,2013,07,1
3,2,1980,2013,07,1
8,2,1946,2013,07,2
0,1,1981,2013,07,302
8,1,1972,2013,07,1190
17,2,1950,2013,07,54
13,2,1995,2013,07,16
15,1,1980,2013,07,992
1,2,1973,2013,07,8
19,1,1963,2013,07,496
16,2,1961,2013,07,168
11,2,1987,2013,07,279
8,1,1994,2013,07,37
4,1,1988,2013,07,38
16,1,1991,2013,07,277
12,1,1973,2013,07,601
7,1,1975,2013,07,792
17,1,1949,2013,07,146
1,1,1983,2013,07,224
9,1,1995,2013,07,22
10,1,1957,2013,07,256
16,1,1960,2013,07,613
6,2,1977,2013,07,63
5,1,1940,2013,07,2
4,2,1983,2013,07,8
1,1,1973,2013,07,54
21,2,1960,2013,07,59
14,1,1955,2013,07,224
12,2,1986,2013,07,360
5,1,1973,2013,07,66
14,1,1990,2013,07,347
18,2,1987,2013,07,754
17,1,1932,2013,07,8
22,2,1965,2013,07,61
18,2,1952,2013,07,47
14,2,1964,2013,07,104
8,2,1983,2013,07,581
22,2,1990,2013,07,132
0,1,1979,2013,07,235
21,1,1966,2013,07,338
15,1,1955,2013,07,279
9,2,1939,2013,07,1
6,1,1991,2013,07,49
20,2,1976,2013,07,211
0,1,1972,2013,07,119
2,2,1977,2013,07,5
23,2,1994,2013,07,12
0,1,1955,2013,07,37
5,2,1957,2013,07,1
14,1,1963,2013,07,415
21,1,1936,2013,07,2
9,2,1954,2013,07,62
13,1,1986,2013,07,895
18,1,1949,2013,07,113
19,1,1959,2013,07,303
7,1,1972,2013,07,677
10,1,1948,2013,07,104
0,2,1959,2013,07,17
9,2,1960,2013,07,143
13,2,1946,2013,07,9
2,1,1946,2013,07,2
6,1,1954,2013,07,104
3,1,1955,2013,07,8
8,1,1899,2013,07,2
5,2,1988,2013,07,33
19,1,1997,2013,07,13
4,2,1956,2013,07,4
6,2,1944,2013,07,5
10,1,1953,2013,07,159
8,1,1950,2013,07,145
10,2,1986,2013,07,287
10,2,1953,2013,07,31
16,0,1995,2013,07,3
23,1,1968,2013,07,158
4,1,1956,2013,07,9
18,1,1964,2013,07,782
7,1,1951,2013,07,141
20,1,1973,2013,07,637
6,2,1970,2013,07,36
19,2,1974,2013,07,296
5,2,1980,2013,07,21
5,2,1926,2013,07,1
8,1,1900,2013,07,14
9,1,1948,2013,07,115
