Gender,Birth Year,Year,Month,Number of Trips
2,1944,2013,07,100
1,1921,2013,07,25
1,1987,2013,07,17294
2,1965,2013,07,2643
1,1946,2013,07,976
1,1900,2013,07,109
0,1951,2013,07,38
1,1955,2013,07,4216
2,1943,2013,07,86
0,\N,2013,07,174861
1,1935,2013,07,61
2,1940,2013,07,47
2,1983,2013,07,7828
1,1966,2013,07,10458
2,1955,2013,07,985
2,1939,2013,07,6
1,1940,2013,07,285
2,1964,2013,07,2123
1,1945,2013,07,760
1,1982,2013,07,22115
2,1956,2013,07,1295
2,1948,2013,07,349
2,1972,2013,07,3314
1,1986,2013,07,18955
2,1926,2013,07,37
2,1990,2013,07,3366
2,1900,2013,07,1
1,1965,2013,07,8663
1,\N,2013,07,25
2,1954,2013,07,1114
2,1932,2013,07,20
2,1963,2013,07,2159
2,1933,2013,07,2
2,1949,2013,07,291
1,1964,2013,07,9406
1,1934,2013,07,84
1,1959,2013,07,5681
1,1926,2013,07,3
2,1986,2013,07,8170
2,1980,2013,07,6515
2,1993,2013,07,396
1,1948,2013,07,1652
2,1971,2013,07,3189
2,1936,2013,07,3
1,1991,2013,07,4216
2,1991,2013,07,1587
1,1954,2013,07,3647
1,1927,2013,07,14
2,1974,2013,07,3668
1,1939,2013,07,81
2,1942,2013,07,114
2,1938,2013,07,15
1,1942,2013,07,468
1,1973,2013,07,12762
2,1945,2013,07,154
1,1933,2013,07,51
2,1969,2013,07,2900
2,1959,2013,07,2092
2,1961,2013,07,2093
1,1950,2013,07,2264
1,1974,2013,07,15210
2,1947,2013,07,193
2,1995,2013,07,222
1,1992,2013,07,2317
2,1992,2013,07,1488
2,1985,2013,07,8217
1,1988,2013,07,14624
1,1937,2013,07,33
2,1962,2013,07,2179
1,1941,2013,07,306
1,1995,2013,07,432
2,1967,2013,07,2883
2,1982,2013,07,8741
2,1941,2013,07,102
1,1913,2013,07,13
1,1969,2013,07,13305
2,1968,2013,07,2339
1,1932,2013,07,45
1,1983,2013,07,23584
1,1978,2013,07,18854
1,1956,2013,07,4672
1,1920,2013,07,28
1,1976,2013,07,17106
1,1968,2013,07,11378
1,1970,2013,07,14662
1,1943,2013,07,368
2,1978,2013,07,5049
2,1987,2013,07,6709
1,1936,2013,07,61
1,1899,2013,07,59
1,1944,2013,07,560
1,1963,2013,07,8621
2,1924,2013,07,3
1,1993,2013,07,1642
1,1962,2013,07,7760
0,1995,2013,07,32
2,1979,2013,07,5777
1,1975,2013,07,15247
1,1967,2013,07,10100
2,1981,2013,07,7345
