Gender,Birth Year,Year,Month,Average Trip Duration(s)
2,1932,2013,07,716.85
1,1967,2013,07,813.83
2,1966,2013,07,939.41
2,1979,2013,07,997.33
1,1953,2013,07,877.18
1,1985,2013,07,776.69
2,\N,2013,07,1420.0
2,1995,2013,07,1034.79
1,1943,2013,07,1043.03
1,1983,2013,07,812.51
1,1982,2013,07,807.47
1,1945,2013,07,904.33
2,1996,2013,07,851.59
2,1947,2013,07,971.17
2,1971,2013,07,991.57
2,1968,2013,07,1070.45
2,1997,2013,07,953.42
2,1943,2013,07,1251.67
2,1982,2013,07,972.9
1,1980,2013,07,796.72
2,1955,2013,07,1125.75
2,1973,2013,07,1049.04
2,1984,2013,07,962.45
2,1956,2013,07,1113.53
1,1900,2013,07,1430.27
1,1933,2013,07,524.94
2,1987,2013,07,1017.01
2,1981,2013,07,1034.04
2,1967,2013,07,943.65
1,1970,2013,07,820.43
1,1901,2013,07,1105.57
1,1955,2013,07,941.63
1,1921,2013,07,638.08
1,1930,2013,07,1557.75
1,1920,2013,07,807.61
1,1962,2013,07,902.42
1,1975,2013,07,802.59
1,1937,2013,07,1172.52
1,1988,2013,07,834.62
1,1981,2013,07,807.67
2,1951,2013,07,1216.68
2,1970,2013,07,965.18
1,1946,2013,07,883.06
2,1953,2013,07,935.93
1,1951,2013,07,985.51
2,1940,2013,07,988.64
2,1950,2013,07,1054.66
1,1968,2013,07,835.16
1,1922,2013,07,535.0
2,1945,2013,07,1144.5
1,1986,2013,07,834.54
2,1980,2013,07,899.91
2,1946,2013,07,1583.4
1,1934,2013,07,1124.89
2,1924,2013,07,387.67
2,1959,2013,07,1076.5
2,1969,2013,07,986.73
1,1952,2013,07,883.62
1,1958,2013,07,897.02
2,1958,2013,07,907.16
1,1994,2013,07,862.31
1,1996,2013,07,935.04
2,1977,2013,07,987.84
1,1993,2013,07,710.36
2,1994,2013,07,836.89
1,1936,2013,07,811.1
1,1964,2013,07,823.23
1,1932,2013,07,1414.31
1,1966,2013,07,852.83
2,1954,2013,07,947.58
1,1950,2013,07,904.48
1,1977,2013,07,806.08
2,1963,2013,07,1006.38
2,1986,2013,07,988.94
2,1960,2013,07,1081.53
1,1899,2013,07,1116.27
1,1961,2013,07,834.46
1,1991,2013,07,793.85
1,1957,2013,07,840.3
1,1942,2013,07,807.03
2,1944,2013,07,1073.32
2,1978,2013,07,949.43
2,1965,2013,07,1017.17
1,1941,2013,07,940.42
2,1941,2013,07,1015.07
1,1940,2013,07,821.96
2,1961,2013,07,987.98
1,1963,2013,07,843.0
2,1991,2013,07,937.79
2,1926,2013,07,748.27
1,1910,2013,07,710.67
2,1949,2013,07,1157.78
1,1990,2013,07,780.41
1,1935,2013,07,1311.8
2,1972,2013,07,932.69
2,1992,2013,07,946.95
1,1938,2013,07,945.34
1,\N,2013,07,1014.48
1,1969,2013,07,826.64
2,1985,2013,07,940.62
1,1976,2013,07,828.31
1,1972,2013,07,825.43
2,1936,2013,07,1178.33
2,1983,2013,07,959.84
1,1984,2013,07,801.46
1,1927,2013,07,444.86
2,1993,2013,07,986.34
1,1956,2013,07,876.55
2,1990,2013,07,997.63
2,1964,2013,07,1081.64
2,1974,2013,07,915.76
1,1965,2013,07,844.71
2,1957,2013,07,985.19
2,1939,2013,07,550.5
1,1947,2013,07,953.76
1,1971,2013,07,801.98
2,1962,2013,07,982.26
1,1959,2013,07,869.32
2,1937,2013,07,3517.0
2,1952,2013,07,923.28
1,1949,2013,07,858.75
1,1954,2013,07,867.43
0,\N,2013,07,1528.82
1,1978,2013,07,809.12
2,1899,2013,07,1111.96
1,1992,2013,07,689.25
1,1973,2013,07,816.07
0,1995,2013,07,1069.03
1,1913,2013,07,1485.46
2,1900,2013,07,677.0
2,1933,2013,07,765.5
2,1988,2013,07,957.32
1,1944,2013,07,1032.42
2,1976,2013,07,969.93
1,1979,2013,07,800.02
1,1989,2013,07,789.02
1,1987,2013,07,799.87
2,1948,2013,07,1036.02
2,1975,2013,07,1038.42
1,1997,2013,07,837.06
1,1926,2013,07,1264.67
0,1951,2013,07,471.0
1,1960,2013,07,824.15
1,1974,2013,07,827.41
2,1989,2013,07,948.7
1,1939,2013,07,1169.57
2,1942,2013,07,957.25
1,1948,2013,07,814.43
1,1995,2013,07,768.85
2,1938,2013,07,1488.53
1,1942,2013,08,849.17
2,1996,2013,08,719.6
0,\N,2013,08,1547.32
1,1994,2013,08,855.4
1,1962,2013,08,852.91
1,1991,2013,08,802.17
2,1997,2013,08,884.11
1,1939,2013,08,968.8
2,1968,2013,08,1089.0
1,1974,2013,08,826.6
1,1972,2013,08,819.72
2,1984,2013,08,938.83
1,1932,2013,08,1293.6
1,1967,2013,08,799.46
2,1944,2013,08,783.13
2,1976,2013,08,986.21
1,1900,2013,08,992.14
1,1910,2013,08,1300.0
1,1977,2013,08,851.73
2,1972,2013,08,1014.12
2,1942,2013,08,796.41
2,1949,2013,08,1074.44
2,1945,2013,08,1070.06
2,1960,2013,08,1045.25
1,1996,2013,08,778.36
2,1986,2013,08,923.4
1,1937,2013,08,773.59
2,1952,2013,08,1057.8
2,1985,2013,08,895.41
2,1899,2013,08,884.53
1,1917,2013,08,1314.67
2,1953,2013,08,962.59
2,1940,2013,08,838.59
2,1982,2013,08,956.9
2,1978,2013,08,960.52
1,1922,2013,08,638.09
1,1951,2013,08,869.71
1,1941,2013,08,999.68
2,1964,2013,08,1045.27
2,1941,2013,08,740.27
1,1958,2013,08,895.98
1,1956,2013,08,843.21
1,1965,2013,08,821.6
2,1973,2013,08,962.25
2,1987,2013,08,975.39
1,1982,2013,08,814.36
1,1990,2013,08,767.53
1,1901,2013,08,1029.01
1,1959,2013,08,855.31
2,1969,2013,08,992.14
1,1963,2013,08,859.82
1,1930,2013,08,1976.33
1,1947,2013,08,899.31
1,1973,2013,08,816.46
1,1921,2013,08,577.13
1,1913,2013,08,1528.29
2,1990,2013,08,973.1
2,1951,2013,08,1077.79
1,1936,2013,08,1044.1
